problem_id,domain,problem,previous_steps,current_step,next_step,step_index,label,error_type,explanation,source
lin-3-6-5371,linear_algebra,"Решите систему: x + y = 9, x - y = -3.",Отсюда следует после сложения уравнений: 2x = 6. ||| Получаем x = 3.,Дальше сразу находим y.,"Ответ: x = 3, y = 6.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-3-6-5371,linear_algebra,"Решите систему: x + y = 9, x - y = -3.",Отсюда следует после сложения уравнений: 2x = 6. ||| Получаем x = 3.,Тогда y = 9 - 3 = 8.,"Ответ: x = 3, y = 8.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
quad-1-4-4728,algebra,Решите квадратное уравнение \(x\)^2 -5\(x\) +4 = 0.,,Дискриминант D = (-5)^2 - 4*1*4 = 9.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-1-4-4728,algebra,Решите квадратное уравнение \(x\)^2 -5\(x\) +4 = 0.,,Дискриминант D = (-5)^2 - 4*1*4 = 8.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-1-4-4728,algebra,Решите квадратное уравнение \(x\)^2 -5\(x\) +4 = 0.,D = 9.,"Итак, x = 1 или x = 4.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
lin-4-7-6753,linear_algebra,"Решите систему: x + y=11, x - y=-3.",,Можно записать после сложения уравнений: 2x = 8.,Тогда имеем x = 4.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-4-7-6753,linear_algebra,"Решите систему: x + y=11, x - y=-3.",Можно записать после сложения уравнений: 2x = 8.,Тогда имеем x = 4.,Тогда y = 11 - 4 = 7.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-4-7-6753,linear_algebra,"Решите систему: x + y=11, x - y=-3.",Можно записать после сложения уравнений: 2x = 8. ||| Тогда имеем x = 4.,Дальше сразу находим y.,"Ответ: x = 4, y = 7.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-4-7-6753,linear_algebra,"Решите систему: x + y=11, x - y=-3.",Можно записать после сложения уравнений: 2x = 8. ||| Тогда имеем x = 4.,Тогда y = 11 - 4 = 8.,"Ответ: x = 4, y = 8.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
comb-9-3-3925,combinatorics,Сколькими способами можно выбрать 3 объектов из 9?,,"Используем сочетания C(9,3).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-9-3-3925,combinatorics,Сколькими способами можно выбрать 3 объектов из 9?,,"Используем размещения A(9,3).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-9-3-3925,combinatorics,Сколькими способами можно выбрать 3 объектов из 9?,"Используем C(9,3).",Без дополнительных вычислений получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
lin-2-7-9379,linear_algebra,"Решите систему: x + y = 9, x - y = -5.",,Получаем после сложения уравнений: 2x = 4.,Тогда имеем x = 2.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-2-7-9379,linear_algebra,"Решите систему: x + y = 9, x - y = -5.",Получаем после сложения уравнений: 2x = 4.,Тогда имеем x = 2.,Тогда y = 9 - 2 = 7.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-2-7-9379,linear_algebra,"Решите систему: x + y = 9, x - y = -5.",Получаем после сложения уравнений: 2x = 4. ||| Тогда имеем x = 2.,Дальше сразу находим y.,"Ответ: x = 2, y = 7.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-2-7-9379,linear_algebra,"Решите систему: x + y = 9, x - y = -5.",Получаем после сложения уравнений: 2x = 4. ||| Тогда имеем x = 2.,Тогда y = 9 - 2 = 8.,"Ответ: x = 2, y = 8.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
mat-0-1--3-3-4228,linear_algebra,"Найдите determinant матрицы [[0, 1], [-3, 3]].",,det A = 0*3 - 1*-3.,det A = 3.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-0-1--3-3-4228,linear_algebra,"Найдите determinant матрицы [[0, 1], [-3, 3]].",,det A = 0*3 + 1*-3 = -3.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-0-1--3-3-4228,linear_algebra,"Найдите determinant матрицы [[0, 1], [-3, 3]].",det A = 0*3 - 1*-3.,Ответ: det A = 3.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
lineq-8-2--30-9308,algebra,Решите линейное уравнение 8x + 2=-30.,,Значит 8x = -32.,x = -32/8 = -4.,1,correct,none,Свободный член перенесён корректно.,toy_synthetic_baseline
lineq-8-2--30-9308,algebra,Решите линейное уравнение 8x + 2=-30.,Значит 8x = -32.,x = -32/8 = -3.,Ответ: -3.,2,incorrect,calculation_error,Ошибка при делении коэффициента.,toy_synthetic_baseline
lineq-8-2--30-9308,algebra,Решите линейное уравнение 8x + 2=-30.,Значит 8x = -32. ||| x = -32/8 = -4.,Ответ: -4.,,3,correct,none,Ответ совпадает с найденным значением.,toy_synthetic_baseline
comb-8-3-7888,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,,"Используем сочетания C(8,3).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-8-3-7888,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,,"Используем размещения A(8,3).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-8-3-7888,combinatorics,Сколькими способами можно выбрать 3 объектов из 8?,"Используем C(8,3).","Ясно, что получаем число способов.",,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
comb-10-2-1006,combinatorics,Сколькими способами можно выбрать 2 объектов из 10?,,"Используем сочетания C(10,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-10-2-1006,combinatorics,Сколькими способами можно выбрать 2 объектов из 10?,,"Используем размещения A(10,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-10-2-1006,combinatorics,Сколькими способами можно выбрать 2 объектов из 10?,"Используем C(10,2).",Без дополнительных вычислений получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
arith-8-15-4501,arithmetic,Вычислите 8 + 15.,,Можно записать сумму чисел.,8 + 15 = 23.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-8-15-4501,arithmetic,Вычислите 8 + 15.,Можно записать сумму чисел.,"Ясно, что получаем ответ.",Ответ: 23.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-8-15-4501,arithmetic,Вычислите 8 + 15.,Можно записать сумму чисел.,8 + 15 = 26.,Ответ: 26.,2,incorrect,calculation_error,Правильная сумма равна 23.,toy_synthetic_baseline
arith-8-15-4501,arithmetic,Вычислите 8 + 15.,8 + 15 = 23.,Ответ: 26.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
condprob-101-25-6-4848,probability,Из 101 студентов 25 изучают Python. Среди изучающих Python 6 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 6/25.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-101-25-6-4848,probability,Из 101 студентов 25 изучают Python. Среди изучающих Python 6 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 6/101.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-101-25-6-4848,probability,Из 101 студентов 25 изучают Python. Среди изучающих Python 6 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
comb-7-2-8784,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,,"Используем сочетания C(7,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-7-2-8784,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,,"Используем размещения A(7,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-7-2-8784,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,"Используем C(7,2).",Очевидно получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
chain-5-7291,calculus,Найдите производную функции f(x)=sin(5x).,,Используем правило цепочки.,f'(x)=5cos(5x).,1,correct,none,Правильно выбрано правило цепочки.,toy_synthetic_baseline
chain-5-7291,calculus,Найдите производную функции f(x)=sin(5x).,Используем правило цепочки.,f'(x)=cos(5x).,,2,incomplete,wrong_formula,Пропущен множитель внутренней производной.,toy_synthetic_baseline
chain-5-7291,calculus,Найдите производную функции f(x)=sin(5x).,Используем правило цепочки.,f'(x)=-5cos(5x).,,2,incorrect,sign_error,У производной sin знак положительный.,toy_synthetic_baseline
chain-5-2746,calculus,Найдите производную функции f(x)=sin(5x).,,Используем правило цепочки.,f'(x)=5cos(5x).,1,correct,none,Правильно выбрано правило цепочки.,toy_synthetic_baseline
chain-5-2746,calculus,Найдите производную функции f(x)=sin(5x).,Используем правило цепочки.,f'(x)=cos(5x).,,2,incomplete,wrong_formula,Пропущен множитель внутренней производной.,toy_synthetic_baseline
chain-5-2746,calculus,Найдите производную функции f(x)=sin(5x).,Используем правило цепочки.,f'(x)=-5cos(5x).,,2,incorrect,sign_error,У производной sin знак положительный.,toy_synthetic_baseline
quad-2-2-8478,algebra,Решите квадратное уравнение \(x\)^2 -4\(x\) +4 = 0.,,Дискриминант D = (-4)^2 - 4*1*4 = 0.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-2-2-8478,algebra,Решите квадратное уравнение \(x\)^2 -4\(x\) +4 = 0.,,Дискриминант D = (-4)^2 - 4*1*4 = 4.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-2-2-8478,algebra,Решите квадратное уравнение \(x\)^2 -4\(x\) +4 = 0.,D = 0.,"Итак, x = 2 или x = 2.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
chain-6-8251,calculus,Найдите производную функции f(x)=sin(6x).,,Используем правило цепочки.,f'(x)=6cos(6x).,1,correct,none,Правильно выбрано правило цепочки.,toy_synthetic_baseline
chain-6-8251,calculus,Найдите производную функции f(x)=sin(6x).,Используем правило цепочки.,f'(x)=cos(6x).,,2,incomplete,wrong_formula,Пропущен множитель внутренней производной.,toy_synthetic_baseline
chain-6-8251,calculus,Найдите производную функции f(x)=sin(6x).,Используем правило цепочки.,f'(x)=-6cos(6x).,,2,incorrect,sign_error,У производной sin знак положительный.,toy_synthetic_baseline
mat-5-3-5-4-5246,linear_algebra,"Найдите determinant матрицы [[5, 3], [5, 4]].",,det A = 5*4 - 3*5.,det A = 5.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-5-3-5-4-5246,linear_algebra,"Найдите determinant матрицы [[5, 3], [5, 4]].",,det A = 5*4 + 3*5 = 35.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-5-3-5-4-5246,linear_algebra,"Найдите determinant матрицы [[5, 3], [5, 4]].",det A = 5*4 - 3*5.,Ответ: det A = 5.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
lim-8939,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
lim-8939,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,Дальше применяем известный факт.,Предел равен 1.,2,suspicious,invalid_transition,Не назван конкретный замечательный предел.,toy_synthetic_baseline
lim-8939,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,"Следовательно, предел равен 1.",,2,incomplete,invalid_transition,Нужно сослаться на замечательный предел или доказать переход.,toy_synthetic_baseline
comb-6-3-6502,combinatorics,Сколькими способами можно выбрать 3 объектов из 6?,,"Используем сочетания C(6,3).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-6-3-6502,combinatorics,Сколькими способами можно выбрать 3 объектов из 6?,,"Используем размещения A(6,3).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-6-3-6502,combinatorics,Сколькими способами можно выбрать 3 объектов из 6?,"Используем C(6,3).",Без дополнительных вычислений получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
int-1-4505,calculus,Найдите неопределённый интеграл ∫ \(x\)^1 d\(x\).,,Используем степенную формулу интегрирования.,,1,correct,none,Выбрана подходящая формула.,toy_synthetic_baseline
int-1-4505,calculus,Найдите неопределённый интеграл ∫ \(x\)^1 d\(x\).,Используем степенную формулу интегрирования.,∫ x^1 dx = x^2/2 + C.,,2,correct,none,Интеграл найден верно.,toy_synthetic_baseline
int-1-4505,calculus,Найдите неопределённый интеграл ∫ \(x\)^1 d\(x\).,Используем степенную формулу интегрирования.,∫ x^1 dx = 1x^0 + C.,,2,incorrect,wrong_formula,Использована формула производной вместо интеграла.,toy_synthetic_baseline
prob-6-5-7883,probability,В урне 6 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 6/11.,Вероятность второго красного шара равна 5/10.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-6-5-7883,probability,В урне 6 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 6/11.,Вероятность второго красного шара равна 6/11.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-6-5-7883,probability,В урне 6 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 6/11.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-6-5-7883,probability,В урне 6 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 6/11.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
quad-5-6-1096,algebra,Решите квадратное уравнение x^2 -11x +30 = 0.,,Дискриминант D = (-11)^2 - 4*1*30 = 1.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-5-6-1096,algebra,Решите квадратное уравнение x^2 -11x +30 = 0.,,Дискриминант D = (-11)^2 - 4*1*30 = -3.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-5-6-1096,algebra,Решите квадратное уравнение x^2 -11x +30 = 0.,D = 1.,"Отсюда, x = 5 или x = 6.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
arith-26-14-4613,arithmetic,Вычислите 26 + 14.,,Тогда имеем сумму чисел.,26 + 14 = 40.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-26-14-4613,arithmetic,Вычислите 26 + 14.,Тогда имеем сумму чисел.,Сразу видно получаем ответ.,Ответ: 40.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-26-14-4613,arithmetic,Вычислите 26 + 14.,Тогда имеем сумму чисел.,26 + 14 = 42.,Ответ: 42.,2,incorrect,calculation_error,Правильная сумма равна 40.,toy_synthetic_baseline
arith-26-14-4613,arithmetic,Вычислите 26 + 14.,26 + 14 = 40.,Ответ: 42.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
arith-15-17-3704,arithmetic,Вычислите 15 + 17.,,Тогда имеем сумму чисел.,15 + 17 = 32.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-15-17-3704,arithmetic,Вычислите 15 + 17.,Тогда имеем сумму чисел.,Сразу видно получаем ответ.,Ответ: 32.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-15-17-3704,arithmetic,Вычислите 15 + 17.,Тогда имеем сумму чисел.,15 + 17 = 30.,Ответ: 30.,2,incorrect,calculation_error,Правильная сумма равна 32.,toy_synthetic_baseline
arith-15-17-3704,arithmetic,Вычислите 15 + 17.,15 + 17 = 32.,Ответ: 30.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
mat-5--3-3--3-3977,linear_algebra,"Найдите determinant матрицы [[5, -3], [3, -3]].",,det A = 5*-3 - -3*3.,det A = -6.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-5--3-3--3-3977,linear_algebra,"Найдите determinant матрицы [[5, -3], [3, -3]].",,det A = 5*-3 + -3*3 = -24.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-5--3-3--3-3977,linear_algebra,"Найдите determinant матрицы [[5, -3], [3, -3]].",det A = 5*-3 - -3*3.,Ответ: det A = -6.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
lin-5-7-7211,linear_algebra,"Решите систему: x + y = 12, x - y = -2.",,Значит после сложения уравнений: 2x = 10.,Тогда имеем x = 5.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-5-7-7211,linear_algebra,"Решите систему: x + y = 12, x - y = -2.",Значит после сложения уравнений: 2x = 10.,Тогда имеем x = 5.,Тогда y = 12 - 5 = 7.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-5-7-7211,linear_algebra,"Решите систему: x + y = 12, x - y = -2.",Значит после сложения уравнений: 2x = 10. ||| Тогда имеем x = 5.,Дальше сразу находим y.,"Ответ: x = 5, y = 7.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-5-7-7211,linear_algebra,"Решите систему: x + y = 12, x - y = -2.",Значит после сложения уравнений: 2x = 10. ||| Тогда имеем x = 5.,Тогда y = 12 - 5 = 8.,"Ответ: x = 5, y = 8.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
arith-28-4-6733,arithmetic,Вычислите 28 + 4.,,Отсюда следует сумму чисел.,28 + 4 = 32.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-28-4-6733,arithmetic,Вычислите 28 + 4.,Отсюда следует сумму чисел.,Очевидно получаем ответ.,Ответ: 32.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-28-4-6733,arithmetic,Вычислите 28 + 4.,Отсюда следует сумму чисел.,28 + 4 = 34.,Ответ: 34.,2,incorrect,calculation_error,Правильная сумма равна 32.,toy_synthetic_baseline
arith-28-4-6733,arithmetic,Вычислите 28 + 4.,28 + 4 = 32.,Ответ: 34.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
comb-5-2-3496,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,,"Используем сочетания C(5,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-5-2-3496,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,,"Используем размещения A(5,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-5-2-3496,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,"Используем C(5,2).",Сразу видно получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
calc-8619,calculus,Найдите производную функции f(x)=x^2 sin x.,,Используем правило произведения.,"(x^2)'=2x, (sin x)'=cos x.",1,correct,none,Правило выбрано верно.,toy_synthetic_baseline
calc-8619,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,Производная sin x равна -cos x.,,2,incorrect,wrong_formula,Производная sin x равна cos x.,toy_synthetic_baseline
calc-8619,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,После дифференцирования получаем итоговую формулу.,,2,suspicious,invalid_transition,Не показаны производные множителей и подстановка в правило.,toy_synthetic_baseline
calc-8619,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,"Следовательно, f'(x)=2x sin x.",,3,incomplete,invalid_transition,Пропущен второй член x^2 cos x.,toy_synthetic_baseline
condprob-112-43-8-3683,probability,Из 112 студентов 43 изучают Python. Среди изучающих Python 8 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 8/43.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-112-43-8-3683,probability,Из 112 студентов 43 изучают Python. Среди изучающих Python 8 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 8/112.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-112-43-8-3683,probability,Из 112 студентов 43 изучают Python. Среди изучающих Python 8 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
arith-5-20-7149,arithmetic,Вычислите 5 + 20.,,Тогда имеем сумму чисел.,5 + 20 = 25.,1,correct,none,План вычисления корректен.,toy_synthetic_baseline
arith-5-20-7149,arithmetic,Вычислите 5 + 20.,Тогда имеем сумму чисел.,Сразу видно получаем ответ.,Ответ: 25.,2,suspicious,invalid_transition,Шаг слишком общий и не содержит вычисления.,toy_synthetic_baseline
arith-5-20-7149,arithmetic,Вычислите 5 + 20.,Тогда имеем сумму чисел.,5 + 20 = 23.,Ответ: 23.,2,incorrect,calculation_error,Правильная сумма равна 25.,toy_synthetic_baseline
arith-5-20-7149,arithmetic,Вычислите 5 + 20.,5 + 20 = 25.,Ответ: 23.,,3,incorrect,wrong_final_answer,Финальный ответ не совпадает с вычислением.,toy_synthetic_baseline
prob-7-7-5941,probability,В урне 7 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 7/14.,Вероятность второго красного шара равна 6/13.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-7-7-5941,probability,В урне 7 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/14.,Вероятность второго красного шара равна 7/14.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-7-7-5941,probability,В урне 7 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/14.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-7-7-5941,probability,В урне 7 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 7/14.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
comb-9-2-9728,combinatorics,Сколькими способами можно выбрать 2 объектов из 9?,,"Используем сочетания C(9,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-9-2-9728,combinatorics,Сколькими способами можно выбрать 2 объектов из 9?,,"Используем размещения A(9,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-9-2-9728,combinatorics,Сколькими способами можно выбрать 2 объектов из 9?,"Используем C(9,2).","Ясно, что получаем число способов.",,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
comb-7-2-9031,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,,"Используем сочетания C(7,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-7-2-9031,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,,"Используем размещения A(7,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-7-2-9031,combinatorics,Сколькими способами можно выбрать 2 объектов из 7?,"Используем C(7,2).",Очевидно получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
quad-3-6-5425,algebra,Решите квадратное уравнение x^2 -9x +18 = 0.,,Дискриминант D = (-9)^2 - 4*1*18 = 9.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-3-6-5425,algebra,Решите квадратное уравнение x^2 -9x +18 = 0.,,Дискриминант D = (-9)^2 - 4*1*18 = 13.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-3-6-5425,algebra,Решите квадратное уравнение x^2 -9x +18 = 0.,D = 9.,"В итоге, x = 3 или x = 6.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
int-4-6280,calculus,Найдите неопределённый интеграл ∫ x^4 dx.,,Используем степенную формулу интегрирования.,,1,correct,none,Выбрана подходящая формула.,toy_synthetic_baseline
int-4-6280,calculus,Найдите неопределённый интеграл ∫ x^4 dx.,Используем степенную формулу интегрирования.,∫ x^4 dx = x^5/5 + C.,,2,correct,none,Интеграл найден верно.,toy_synthetic_baseline
int-4-6280,calculus,Найдите неопределённый интеграл ∫ x^4 dx.,Используем степенную формулу интегрирования.,∫ x^4 dx = 4x^3 + C.,,2,incorrect,wrong_formula,Использована формула производной вместо интеграла.,toy_synthetic_baseline
lim-4995,calculus,Найдите предел lim_{x->0} sin(x)/x.,,При x -> 0 числитель и знаменатель стремятся к 0.,Используем замечательный предел.,1,correct,none,Неопределённость замечена верно.,toy_synthetic_baseline
lim-4995,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,Дальше применяем известный факт.,Предел равен 1.,2,suspicious,invalid_transition,Не назван конкретный замечательный предел.,toy_synthetic_baseline
lim-4995,calculus,Найдите предел lim_{x->0} sin(x)/x.,При x -> 0 числитель и знаменатель стремятся к 0.,"Следовательно, предел равен 1.",,2,incomplete,invalid_transition,Нужно сослаться на замечательный предел или доказать переход.,toy_synthetic_baseline
chain-6-6325,calculus,Найдите производную функции f(x)=sin(6x).,,Используем правило цепочки.,f'(x)=6cos(6x).,1,correct,none,Правильно выбрано правило цепочки.,toy_synthetic_baseline
chain-6-6325,calculus,Найдите производную функции f(x)=sin(6x).,Используем правило цепочки.,f'(x)=cos(6x).,,2,incomplete,wrong_formula,Пропущен множитель внутренней производной.,toy_synthetic_baseline
chain-6-6325,calculus,Найдите производную функции f(x)=sin(6x).,Используем правило цепочки.,f'(x)=-6cos(6x).,,2,incorrect,sign_error,У производной sin знак положительный.,toy_synthetic_baseline
